model,split,f1_macro,f1_clean,f1_off,f1_hate,accuracy,train_time_s,inference_time_s,params
LR baseline,dev,0.6015,,,,,,,
LR + char champion,dev,0.6392,0.9208,0.4365,0.5603,0.8387,,,
LR + char champion,test,0.6182909165520397,0.9144439317028149,0.39759036144578314,0.5428384565075213,0.8333832335329341,2.0,0.01,25000.0
BiLSTM baseline,dev,0.5999,,,,,,,
BiLSTM v2 (Exp3),dev,0.6195,0.8981,0.4205,0.5399,0.81,,,
BiLSTM v2 (Exp3),test,0.5901669807142905,0.8981167608286252,0.3694060211554109,0.5029781601588352,0.8047904191616766,58.0,0.91,3533355.0
PhoBERT-base-v2,dev,0.6864,0.9341,0.5134,0.6116,0.8645,,,
PhoBERT-base-v2,test,0.6617605941841284,0.9312169312169312,0.43743199129488575,0.6166328600405679,0.8624251497005988,1732.0,22.05,135000579.0
