mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_alpha,param_fit_prior,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0.005689811706542969,0.00048179097429423037,0.0025841236114501954,0.00010492807896236693,0.001,True,"{'alpha': 0.001, 'fit_prior': True}",0.5445736934548399,0.5609942054127539,0.5637068838177846,0.563711332940934,0.5542861073996997,0.5574544446052024,0.0073037478758903665,16
0.0047360420227050785,0.00014192796684241773,0.0025641918182373047,0.00026573365185111577,0.001,False,"{'alpha': 0.001, 'fit_prior': False}",0.5496347716623893,0.563103608635264,0.5689172282615615,0.5649946955478179,0.558367116232905,0.5610034840679876,0.006620660035966134,15
0.004828882217407226,0.0003479011356822619,0.002480602264404297,6.393879565273571e-05,0.01,True,"{'alpha': 0.01, 'fit_prior': True}",0.5584377145029454,0.5762495999101448,0.5791717096558086,0.5801404684115271,0.5629188895467744,0.57138367640544,0.008947207674395791,14
0.004813671112060547,0.00046186440743716277,0.002439069747924805,7.104816052504129e-05,0.01,False,"{'alpha': 0.01, 'fit_prior': False}",0.5636123440221622,0.5784074243295741,0.5845224407760884,0.581578906037377,0.5670016757925861,0.5750245581915576,0.008236726374199234,13
0.0054893016815185545,0.0016867519671463903,0.0024305343627929687,6.124037277224747e-05,0.05,True,"{'alpha': 0.05, 'fit_prior': True}",0.5717245934905856,0.5905768913429329,0.5967991802816006,0.600131212126894,0.5868393566000921,0.589214246768421,0.009900466901762023,12
0.004747581481933594,0.00013404132545029245,0.002453136444091797,0.00011466614098082858,0.05,False,"{'alpha': 0.05, 'fit_prior': False}",0.576866042622358,0.5928583845280081,0.6022723449476536,0.6016937098424568,0.5910608916351888,0.5929502747151332,0.009226368575873072,11
0.004773473739624024,0.00042321103285838355,0.002458477020263672,7.807975139480557e-05,0.1,True,"{'alpha': 0.1, 'fit_prior': True}",0.5851607327483298,0.5968673295309959,0.6106598369793418,0.6096075341824735,0.5981209977716719,0.6000832862425625,0.009374969660862506,10
0.005136966705322266,0.0005730589012492991,0.002459287643432617,8.435369278317474e-05,0.1,False,"{'alpha': 0.1, 'fit_prior': False}",0.5903983083973006,0.5992290921749371,0.6162805879766933,0.6112869110873946,0.6024236031102385,0.6039237005493129,0.009100938515364913,9
0.004775905609130859,0.00011175638895805669,0.0024691104888916017,0.00010496694680806721,0.5,True,"{'alpha': 0.5, 'fit_prior': True}",0.5944806210214723,0.6324015622853296,0.6284497720554041,0.6311310300586281,0.6297708883968131,0.6232467747635295,0.014443673056106766,6
0.004552698135375977,0.00014369197994125172,0.0024007320404052734,0.00010618186026961563,0.5,False,"{'alpha': 0.5, 'fit_prior': False}",0.5998882761878697,0.6349655834499383,0.6342117999737048,0.6330638793950834,0.6344172902250412,0.6273093658463275,0.013724535970954596,5
0.005110692977905273,0.00032618214412526977,0.0024796009063720705,9.875922641467384e-05,1.0,True,"{'alpha': 1.0, 'fit_prior': True}",0.5984542629796227,0.6422673724751142,0.6348555682287742,0.6322042313996438,0.6390616761314404,0.6293686222429191,0.015837789715991844,4
0.004734849929809571,0.00022591317708305393,0.0023662090301513673,4.732992531427441e-05,1.0,False,"{'alpha': 1.0, 'fit_prior': False}",0.6040887669624436,0.6449115977358962,0.6407243614762725,0.634232612955535,0.6438914685644899,0.6335697615389274,0.015204812381105147,2
0.004946327209472657,0.0004168361852297832,0.0023639678955078127,4.739036926847536e-05,2.0,True,"{'alpha': 2.0, 'fit_prior': True}",0.6048807099532305,0.6488381934493902,0.6364927967538095,0.6392985644453538,0.6339548350647973,0.6326930199333163,0.0147909087882024,3
0.005550527572631836,0.0005867971437012145,0.0024801254272460937,8.064705003286854e-05,2.0,False,"{'alpha': 2.0, 'fit_prior': False}",0.6106691672181307,0.6517760741352846,0.6424692194190361,0.6414821535787295,0.6389349148357962,0.6370663058373955,0.01389510055160804,1
0.0051346302032470705,0.0006086364019538556,0.002520847320556641,7.278875097171662e-05,5.0,True,"{'alpha': 5.0, 'fit_prior': True}",0.5994702868125606,0.6238362229665073,0.616929538534428,0.6142689562171784,0.6188717578595522,0.6146753524780453,0.008221580150088559,8
0.004700613021850586,0.00016694431878474877,0.002622365951538086,0.00029136908150041393,5.0,False,"{'alpha': 5.0, 'fit_prior': False}",0.6058573024318664,0.6269541265052968,0.6232513757886445,0.6166253362031311,0.6244343685662261,0.619424501899033,0.00759398715400936,7
