mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_C,param_class_weight,param_max_iter,param_penalty,param_solver,params,split0_test_f1_macro,split1_test_f1_macro,split2_test_f1_macro,split3_test_f1_macro,split4_test_f1_macro,mean_test_f1_macro,std_test_f1_macro,rank_test_f1_macro,split0_test_f1_toxic,split1_test_f1_toxic,split2_test_f1_toxic,split3_test_f1_toxic,split4_test_f1_toxic,mean_test_f1_toxic,std_test_f1_toxic,rank_test_f1_toxic
0.2043086051940918,0.08352774315288204,0.012032365798950196,0.0012252887782574517,0.001,balanced,2000,l2,lbfgs,"{'C': 0.001, 'class_weight': 'balanced', 'max_iter': 2000, 'penalty': 'l2', 'solver': 'lbfgs'}",0.5474654796995015,0.5466691950989649,0.5586447036372724,0.5519602473165066,0.5491376427522658,0.5507754537009022,0.004331940506794707,9,0.5431754874651811,0.5249199817101051,0.543859649122807,0.5411449016100179,0.5307037203047961,0.5367607480425814,0.007584924696609115,9
0.03945226669311523,0.037724841951369756,0.0,0.0,0.001,balanced,2000,l2,liblinear,"{'C': 0.001, 'class_weight': 'balanced', 'max_iter': 2000, 'penalty': 'l2', 'solver': 'liblinear'}",,,,,,,,10,,,,,,,,10
0.35034632682800293,0.14534583429302741,0.019026660919189455,0.015445096450434249,0.01,balanced,2000,l2,lbfgs,"{'C': 0.01, 'class_weight': 'balanced', 'max_iter': 2000, 'penalty': 'l2', 'solver': 'lbfgs'}",0.5511963090793143,0.5536378741143155,0.5660982939764096,0.5564185031872112,0.5561548647913678,0.5567011690297237,0.005066982620364581,8,0.5515320334261838,0.5384615384615384,0.5525219805645535,0.5408071748878924,0.5420645748067303,0.5450774604293797,0.005799407460760941,8
0.009333467483520508,0.0020071555194374714,0.0,0.0,0.01,balanced,2000,l2,liblinear,"{'C': 0.01, 'class_weight': 'balanced', 'max_iter': 2000, 'penalty': 'l2', 'solver': 'liblinear'}",,,,,,,,10,,,,,,,,10
0.692354154586792,0.1612987680156881,0.021859025955200194,0.0074797626543682705,0.1,balanced,2000,l2,lbfgs,"{'C': 0.1, 'class_weight': 'balanced', 'max_iter': 2000, 'penalty': 'l2', 'solver': 'lbfgs'}",0.5712833076724609,0.5869314565481846,0.5886020173167794,0.571724209088529,0.5835137515695409,0.5804109484390989,0.007456692150482956,7,0.5850467289719626,0.5811808118081181,0.5905730129390019,0.5693758419398294,0.5779816513761468,0.5808316094070117,0.007101281392490878,6
0.010904073715209961,0.001563334770272128,0.0,0.0,0.1,balanced,2000,l2,liblinear,"{'C': 0.1, 'class_weight': 'balanced', 'max_iter': 2000, 'penalty': 'l2', 'solver': 'liblinear'}",,,,,,,,10,,,,,,,,10
2.3897327423095702,0.24143942378882408,0.03695082664489746,0.0274464255171486,0.5,balanced,2000,l2,lbfgs,"{'C': 0.5, 'class_weight': 'balanced', 'max_iter': 2000, 'penalty': 'l2', 'solver': 'lbfgs'}",0.5855877239404572,0.6131742449285416,0.6019418563847274,0.594760555829622,0.6002281107840125,0.5991384983734721,0.009042545231894834,4,0.6099221789883269,0.6111111111111112,0.6106280193236715,0.5965077866918358,0.603082851637765,0.606250389550542,0.005678448750966246,4
0.014448928833007812,0.0019444064838687238,0.0,0.0,0.5,balanced,2000,l2,liblinear,"{'C': 0.5, 'class_weight': 'balanced', 'max_iter': 2000, 'penalty': 'l2', 'solver': 'liblinear'}",,,,,,,,10,,,,,,,,10
3.038392210006714,0.6623686732135062,0.022251224517822264,0.0036866602690673296,1.0,balanced,2000,l2,lbfgs,"{'C': 1, 'class_weight': 'balanced', 'max_iter': 2000, 'penalty': 'l2', 'solver': 'lbfgs'}",0.5934429300402155,0.6189188104534217,0.6063154701917731,0.5968030078165752,0.6115040500890475,0.6053968537182066,0.00935666069029726,2,0.6111111111111112,0.6198428290766208,0.6205867727498757,0.6081081081081081,0.6146195922426654,0.6148536826576763,0.004844054502217806,2
0.02235565185546875,0.01838852102172806,0.0,0.0,1.0,balanced,2000,l2,liblinear,"{'C': 1, 'class_weight': 'balanced', 'max_iter': 2000, 'penalty': 'l2', 'solver': 'liblinear'}",,,,,,,,10,,,,,,,,10
4.523998212814331,0.4797826458880711,0.024356842041015625,0.005703866686764425,5.0,balanced,2000,l2,lbfgs,"{'C': 5, 'class_weight': 'balanced', 'max_iter': 2000, 'penalty': 'l2', 'solver': 'lbfgs'}",0.5934829601552822,0.6191162561621727,0.6098075156828907,0.597470001578611,0.6079546386970822,0.6055662744552077,0.009152601096141447,1,0.6211640211640211,0.6251298026998962,0.6219895287958115,0.6052496139989707,0.6242171189979123,0.6195500171313223,0.007293471090652398,1
0.016244173049926758,0.0018296191864402961,0.0,0.0,5.0,balanced,2000,l2,liblinear,"{'C': 5, 'class_weight': 'balanced', 'max_iter': 2000, 'penalty': 'l2', 'solver': 'liblinear'}",,,,,,,,10,,,,,,,,10
4.883487224578857,0.23752723360086134,0.015452003479003907,0.004623869758401485,10.0,balanced,2000,l2,lbfgs,"{'C': 10, 'class_weight': 'balanced', 'max_iter': 2000, 'penalty': 'l2', 'solver': 'lbfgs'}",0.5902226273796138,0.6141903598171726,0.6093354386636282,0.5992180966571506,0.6058351018190714,0.6037603248673273,0.008343540168038453,3,0.6154672395273899,0.6205804749340369,0.6151368760064412,0.6074619022595901,0.614572333685322,0.6146437652825559,0.004189273169838188,3
