off_bias,hate_bias,f1_macro,f1_offensive,f1_hate
1.0,1.0,0.6391996976583268,0.4365256124721604,0.5602605863192183
1.0,1.2,0.6332047011757199,0.42630385487528344,0.5550387596899224
1.0,1.5,0.6207423337218487,0.4,0.5472779369627507
1.0,1.8,0.6153005802551013,0.39036144578313253,0.5424657534246575
1.2,1.0,0.6336823486525643,0.425531914893617,0.556836902800659
1.2,1.2,0.6317243296957439,0.42332613390928725,0.5557299843014128
1.2,1.5,0.6236499271394019,0.4124168514412417,0.545985401459854
1.2,1.8,0.6153348796439922,0.3881278538812785,0.5472222222222223
1.5,1.0,0.6354092811856842,0.43106796116504853,0.5612244897959183
1.5,1.2,0.6256016191840396,0.4112903225806452,0.554140127388535
1.5,1.5,0.6185987006354803,0.4074074074074074,0.5408618127786032
1.5,1.8,0.6155111376036451,0.39832285115303984,0.5426136363636364
1.8,1.0,0.632869425923946,0.4280442804428044,0.5601374570446735
1.8,1.2,0.6283939637651342,0.4216417910447761,0.555921052631579
1.8,1.5,0.6144797991174907,0.40077821011673154,0.5391566265060241
1.8,1.8,0.6130531636497913,0.3968253968253968,0.5410071942446043
2.0,1.0,0.6320010187774182,0.4296028880866426,0.5570934256055363
2.0,1.2,0.6278424012298296,0.4233576642335766,0.5538971807628524
2.0,1.5,0.6161853848163781,0.4015151515151515,0.5449010654490106
2.0,1.8,0.6137320801848993,0.4,0.5412445730824892
2.5,1.0,0.6227203319532532,0.41264559068219636,0.552212389380531
2.5,1.2,0.618612806487418,0.40609137055837563,0.5497470489038786
2.5,1.5,0.6131766909474926,0.40344827586206894,0.5400313971742543
2.5,1.8,0.608970519683399,0.3900709219858156,0.543026706231454
